mode,severity,corruption,seed,acc,ece
sar,2,defocus_blur,2,91.17,4.297296621501445
source,2,glass_blur,0,45.25,38.77772079467774
tent,2,glass_blur,0,75.69,16.27865657404065
tent_temp,2,glass_blur,0,75.26,11.372314966470004
sicl,2,glass_blur,0,75.75,8.77015537649393
cgt_isocal,2,glass_blur,0,75.72,10.833549231290817
sicl_isocal,2,glass_blur,0,75.25,5.051706628799439
eata,2,glass_blur,0,71.8,18.641639679670334
sar,2,glass_blur,0,71.3,17.17044966802001
source,2,glass_blur,1,45.25,38.77772114396095
tent,2,glass_blur,1,75.6,16.55337394505739
tent_temp,2,glass_blur,1,75.66,11.179913199245929
sicl,2,glass_blur,1,75.27,8.992186418026686
cgt_isocal,2,glass_blur,1,75.24,11.687708341181278
sicl_isocal,2,glass_blur,1,74.15,5.819558022320271
eata,2,glass_blur,1,72.509995,17.980794735848903
sar,2,glass_blur,1,71.33,17.30537135452032
source,2,glass_blur,2,45.25,38.77772102043033
tent,2,glass_blur,2,75.24,16.850855822861195
tent_temp,2,glass_blur,2,75.98,10.775416021794083
sicl,2,glass_blur,2,74.9,8.68109381467104
cgt_isocal,2,glass_blur,2,75.31,11.633786052465439
sicl_isocal,2,glass_blur,2,76.23,5.139068596884608
eata,2,glass_blur,2,72.52,18.02662453085184
sar,2,glass_blur,2,71.16,17.43199372753501
source,2,motion_blur,0,76.82,13.753447194099428
tent,2,motion_blur,0,89.310005,6.583137393742799
tent_temp,2,motion_blur,0,88.950005,3.620330410003662
sicl,2,motion_blur,0,89.08,4.519998967945575
cgt_isocal,2,motion_blur,0,88.92,6.095618531703948
sicl_isocal,2,motion_blur,0,89.020004,2.589708934128285
eata,2,motion_blur,0,88.57,6.77596204996109
sar,2,motion_blur,0,87.78,6.487624572366476
source,2,motion_blur,1,76.82,13.753446737229824
tent,2,motion_blur,1,88.630005,7.404003380537033
tent_temp,2,motion_blur,1,88.880005,3.565612799227238
sicl,2,motion_blur,1,89.15,4.603280732482671
cgt_isocal,2,motion_blur,1,88.96,5.833923191130161
sicl_isocal,2,motion_blur,1,88.89,3.0329011729359623
eata,2,motion_blur,1,88.270004,7.061806071251631
sar,2,motion_blur,1,87.72,6.36467736825347
source,2,motion_blur,2,76.82,13.753445843756202
tent,2,motion_blur,2,89.240005,6.803481543064118
tent_temp,2,motion_blur,2,89.03,3.379083186686039
sicl,2,motion_blur,2,89.01,4.715781840831042
cgt_isocal,2,motion_blur,2,89.21,6.110587338209153
sicl_isocal,2,motion_blur,2,89.490005,2.940309563279152
eata,2,motion_blur,2,88.25,6.915398910939693
sar,2,motion_blur,2,87.74,6.4280419459939
source,2,zoom_blur,0,79.329994,11.78331286534667
tent,2,zoom_blur,0,90.63,5.7599282816052435
tent_temp,2,zoom_blur,0,90.520004,2.659834302663803
sicl,2,zoom_blur,0,90.340004,4.114060629755259
cgt_isocal,2,zoom_blur,0,90.39,5.60874522536993
sicl_isocal,2,zoom_blur,0,90.44,2.6168384211510425
eata,2,zoom_blur,0,89.86,5.700186461210251
sar,2,zoom_blur,0,89.11,5.722253084480762
source,2,zoom_blur,1,79.329994,11.783305128365756
tent,2,zoom_blur,1,90.07,6.217854860126972
tent_temp,2,zoom_blur,1,90.11,2.8446731403470045
sicl,2,zoom_blur,1,90.43,4.319998876899481
